Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
11607817,1,8
11607823,1,98
11607823,2,96
11607824,1,96
11607824,2,96
11607824,3,96
11607833,1,99
11607834,1,96
11607834,2,96
11608224,1,96
11608224,2,98
11608224,3,99
11608231,1,96
11608231,2,96
11608233,1,99
11608233,2,96
11608234,1,96
11608234,2,96
11608244,1,6
11608244,1,7
11608246,2,96
11608247,1,99
11608247,2,99
11608252,1,96
11608252,2,96
11608254,1,96
11608254,2,99
11608259,1,96
11608259,2,96
11608261,1,96
11608261,2,96
11608264,1,8
11608265,1,96
11608265,2,96
11608289,2,96
11608290,1,96
11608290,2,96
11608291,1,96
11608291,2,96
11608303,1,96
11608303,2,96
11608307,2,96
11608310,1,96
11608310,2,98
11608314,1,99
11608317,1,96
11608319,1,96
11608324,1,96
11608325,1,2
11608325,1,3
11608325,2,96
11608326,1,99
11608326,2,96
11608326,3,96
11608331,1,96
11608331,2,96
11608337,1,96
11608337,2,96
11608340,1,96
11608340,2,96
11608344,1,99
11608344,2,96
11608352,1,99
11608352,2,99
11608353,1,98
11608353,2,98
11608354,1,99
11608354,2,96
11608356,1,96
11608356,2,96
11608547,1,96
11608547,2,96
11608569,1,99
11608572,1,96
11608572,2,96
11608579,1,99
11608681,1,98
11608681,2,96
11608712,1,99
11608712,2,96
11608713,1,96
11608713,3,96
11608780,1,96
11608780,2,98
11608780,3,98
11608828,1,96
11608828,2,98
11608830,1,96
11608830,2,96
11609760,1,98
11609760,2,98
11609762,1,96
11609762,2,96
11609764,1,96
11609764,2,98
11609769,1,98
11609769,2,96
11609934,1,99
11609934,2,99
11609936,1,96
11609936,2,96
11609940,1,96
11609940,2,96
11609942,2,98
11609946,1,99
11609946,2,96
11609974,2,99
11609978,1,6
11609982,1,96
11609984,1,98
11609988,1,99
11609988,2,96
11609989,1,96
11609989,2,96
11610013,1,96
11610013,2,98
11610015,1,96
11610015,2,96
11610021,1,96
11610021,2,96
11610025,1,8
11610025,2,96
11610028,2,96
11610029,1,96
11610029,2,96
11610031,1,99
11610031,2,99
11610048,1,98
11610048,2,96
11610051,1,96
11610051,2,96
11610053,1,96
11610053,2,96
11610056,1,8
11610062,1,98
11610062,2,96
11610065,1,98
11610065,2,96
11610066,1,96
11610066,2,96
11610401,1,96
11610405,1,96
11610414,1,99
11610414,2,96
11610418,1,96
11611279,1,96
11611310,1,96
11611310,2,98
11611316,1,96
11611316,2,96
11611317,1,8
11611317,2,96
11611323,1,96
11611323,2,98
11611327,1,8
11611327,2,96
11611430,1,8
11611444,1,99
11611444,2,96
11611467,1,96
11611467,2,98
11611469,1,96
11611469,2,96
11611471,1,96
11611471,2,96
11611479,1,96
11611479,2,96
11611597,1,8
11611625,1,8
11611629,1,99
11611629,2,99
11612802,1,96
11612803,1,96
11612805,1,96
11612805,2,99
11612807,1,99
11612808,1,96
11612809,1,8
11612809,2,96
11613664,1,96
11613664,2,96
11616099,1,96
11616099,2,96
11616100,1,96
11616717,2,96
11616996,1,3
11616996,1,6
11618659,1,8
11618681,1,8
11618681,2,96
11618685,1,96
11618714,1,99
11618714,2,96
11618717,1,96
11618717,2,96
11618719,1,98
11618719,2,96
11618721,2,8
11618726,1,96
11618735,1,96
11618735,2,96
11618737,1,96
11618737,2,96
11618739,1,96
11618739,2,96
11618741,1,96
11618741,2,96
11619614,1,3
11619614,1,4
11619614,2,96
11622185,1,3
11622185,1,6
11622202,1,96
11622202,2,96
11622207,1,98
11622207,2,96
11622209,1,3
11622209,1,6
11622209,2,99
11622268,1,96
11622268,2,8
11622671,1,96
11622675,1,96
11622675,2,96
11622862,1,98
11622862,2,96
11622867,1,99
11622867,2,99
11622876,1,96
11622876,2,96
11622880,1,96
11622880,2,96
11623020,2,96
11623029,1,96
11623043,1,96
11623043,2,98
11623049,1,96
11623049,2,96
11623050,1,98
11623050,2,96
11623052,1,96
11623052,2,96
11623053,1,96
11623053,2,96
11623070,2,96
11623155,1,96
11623155,2,96
11623225,1,96
11623225,2,96
11623227,1,99
11623227,2,96
11623230,2,2
11623230,2,4
11623230,2,6
11623322,1,96
11623322,2,96
11623322,3,96
11623326,2,96
11623328,1,96
11623328,2,96
11623344,1,96
11623377,1,98
11623377,2,96
11623404,1,96
11623404,2,8
11623405,1,99
11623405,2,99
11623407,1,99
11623407,2,99
11623410,1,8
11623410,2,8
11623411,1,98
11623411,2,3
11623411,2,6
11623432,1,99
11623432,2,96
11623443,1,96
11623443,2,96
11623444,2,96
11623445,1,96
11623445,2,96
11623462,1,8
11623473,1,96
11623473,2,98
11623475,1,98
11623475,2,96
11623479,1,96
11623479,2,96
11623481,1,99
11623481,2,99
11623488,1,96
11623488,2,96
11623489,1,96
11623489,2,96
11623914,1,8
11623914,2,96
11623918,1,96
11623918,2,96
11623922,1,96
11623922,2,96
11623930,1,96
11623938,1,96
11623938,2,96
11623941,1,96
11623941,2,96
11623948,1,96
11623948,2,98
11623960,1,96
11623960,2,96
11623961,2,96
11623967,1,96
11625017,2,3
11625017,2,6
11625017,2,7
11625022,1,99
11625022,3,96
11625042,1,99
11627885,1,96
11627885,2,96
11627885,3,96
11628611,1,99
11628611,2,96
11628615,1,96
11628615,2,96
11629752,1,99
11629752,2,96
11629931,2,98
11629936,1,98
11629936,2,98
11629939,1,99
11629939,2,96
11629941,1,96
11629941,2,99
11629944,1,3
11629944,1,6
11630781,1,98
11630781,2,98
11633476,1,96
11633504,1,96
11633504,2,96
11633506,1,99
11633519,1,96
11633693,1,96
11633697,1,99
11636411,1,99
11636411,2,99
11636418,1,3
11636418,1,6
11636418,2,96
11636436,1,96
11636436,2,96
11636439,1,96
11636439,2,96
11636439,3,96
11636443,1,99
11636443,2,96
11636463,1,96
11636463,2,96
11636864,1,96
11636948,1,96
11636948,2,96
11636950,1,96
11636950,2,96
11637150,1,98
11637150,2,2
11637150,2,3
11637150,2,6
11637151,1,99
11637151,2,99
11637845,1,99
11637845,2,99
11637849,1,8
11637849,2,96
11637858,1,98
11637858,2,96
11637859,1,99
11637859,2,98
11637861,1,8
11637861,2,99
11637865,1,96
11637865,2,96
11637885,1,96
11637885,2,96
11637893,1,6
11637893,1,7
11637893,2,96
11637903,1,8
11637903,2,96
11637906,1,98
11637906,2,99
11637914,1,96
11637914,2,96
11637916,1,96
11638246,1,96
11638246,2,98
11638249,1,96
11638249,2,98
11638250,1,96
11638250,2,96
11638254,1,99
11638254,2,96
11638257,2,96
11638258,1,96
11638258,2,98
11638260,1,96
11638260,2,96
11638261,1,99
11638318,1,98
11638318,2,98
11638322,1,99
11638322,2,2
11638322,2,5
11638348,1,8
11638348,2,96
11638350,1,96
11638350,2,96
11638353,1,96
11638383,1,96
11638383,2,96
11638387,1,96
11638404,2,96
11638493,1,98
11638501,1,98
11638501,2,96
11639445,2,96
11639446,1,98
11639446,3,96
11639450,1,2
11639450,1,6
11639450,1,7
11639453,1,98
11639453,3,98
11639454,1,98
11639454,3,96
11639678,2,96
11639684,1,96
11639684,2,96
11639685,1,96
11639685,2,96
11639686,1,98
11639686,2,96
11639690,1,96
11639690,2,96
11639691,2,96
11639697,1,96
11639697,2,96
11639698,1,8
11639698,2,8
11639702,2,96
11639709,1,96
11639741,1,96
11639741,2,96
11639741,3,96
11639741,4,96
11639743,1,96
11639743,2,96
11639772,1,96
11639772,2,98
11639773,1,96
11639773,2,96
11639775,1,96
11639779,1,96
11639779,2,96
11639783,1,96
11639899,1,96
11639899,2,96
11639906,1,96
11639907,1,99
11639909,1,96
11639911,1,98
11639911,2,96
11639913,1,99
11639914,1,96
11639914,2,96
11639990,1,8
11639995,2,96
11640052,1,98
11640052,2,98
11640082,1,8
11640123,2,98
11640161,2,98
11640161,3,98
11640164,1,96
11640164,3,96
11640169,1,96
11640169,2,96
11640171,1,96
11640171,2,96
11640174,1,99
11640174,2,96
11640182,1,99
11640182,2,96
11640183,1,99
11640183,2,96
11640187,1,96
11640187,2,96
11640192,1,96
11640192,2,96
11640194,1,99
11640194,2,6
11640195,2,96
11640198,1,96
11640198,2,96
11640200,1,98
11640200,2,98
11640201,1,96
11640201,2,99
11640202,1,96
11640203,1,96
11640203,2,96
11640203,3,96
11640203,4,96
11640203,5,96
11640206,1,2
11640206,1,3
11640206,1,6
11640206,2,96
11642331,1,2
11642331,2,96
11642339,1,2
11642339,1,3
11642339,1,6
11643486,1,96
11643486,2,96
11643486,3,96
11643517,1,99
11643517,2,96
11643569,1,98
11643573,1,96
11643573,2,96
11643578,1,96
11643578,2,96
11643580,1,98
11643580,2,96
11643585,1,96
11643585,2,96
11643587,1,96
11643587,2,96
11643600,1,96
11643600,2,96
11643604,2,96
11643610,1,96
11643610,2,96
11643612,1,98
11643617,1,96
11643681,1,8
11643682,2,99
11643733,1,98
11643733,2,98
11643743,1,96
11643743,2,8
11643745,1,8
11643746,1,96
11643748,1,99
11643748,2,96
11643752,1,98
11643757,1,96
11643757,2,98
11643759,1,96
11643761,1,99
11643761,2,96
11643769,1,99
11643769,2,96
11643782,1,96
11643782,2,96
11643789,1,96
11643789,2,96
11643790,1,99
11643790,2,96
11643791,1,96
11643791,2,96
11643810,2,96
11643815,1,96
11643815,2,96
11643818,1,98
11643818,2,96
11643823,1,96
11643827,1,96
11643827,2,96
11643829,2,96
11643830,1,98
11643830,2,96
11643830,3,96
11643831,1,8
11643831,2,96
11643836,1,96
11643836,2,96
11643837,1,96
11643837,2,96
11643844,2,96
11643846,2,96
11643862,2,6
11643862,2,7
11643873,1,96
11643873,2,96
11643874,1,96
11643874,2,99
11643876,1,99
11643876,2,96
11643877,1,96
11643877,2,96
11643880,1,96
11643880,2,98
11643881,1,99
11643881,2,96
11643883,1,96
11643884,1,96
11643884,2,96
11643887,1,98
11643887,2,96
11643902,2,96
11645048,1,99
11645748,1,99
11645757,1,99
11645759,1,96
11645759,2,96
11645772,1,99
11645772,2,96
11645772,3,96
11645809,1,99
11645813,2,96
11645817,2,96
11646542,1,8
11646542,2,98
11646857,1,96
11646857,2,96
11646867,1,96
11646870,1,96
11646872,1,96
11646872,2,96
11646880,1,96
11646882,1,96
11646888,1,8
11646888,2,96
11646899,1,96
11646943,1,96
11646949,1,99
11646949,2,96
11647046,1,8
11647050,1,8
11647050,2,96
