Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
11554262,1,20
11554262,2,19
11554643,1,98
11554643,3,98
11554644,1,99
11558632,1,19
11558632,2,19
11558633,1,99
11558633,2,19
11559023,1,99
11559023,2,1
11559103,1,19
11559103,2,19
11559719,1,99
11559727,1,99
11562047,1,1
11562047,2,98
11562553,1,19
11562553,2,19
11562558,1,99
11562560,1,19
11562560,2,19
11562561,1,1
11562561,2,19
11562562,1,1
11562562,2,19
11562564,1,1
11562694,1,1
11564592,1,19
11564593,1,20
11564593,2,20
11564594,1,19
11564597,1,98
11564600,1,1
11564603,1,19
11566073,1,98
11566073,3,19
11566076,1,19
11566076,2,1
11566119,1,20
11566119,2,98
11566120,1,19
11566120,2,19
11566125,1,1
11566131,1,15
11566198,1,19
11566198,2,19
11566210,1,1
11566250,1,1
11566250,2,19
11566365,2,1
11566398,2,1
11566401,1,20
11566401,2,1
11566428,1,1
11566428,2,20
11566469,2,1
11566471,1,1
11566471,2,1
11566472,1,20
11566487,1,1
11566487,2,19
11566511,1,19
11566511,2,19
11566524,1,19
11566524,2,21
11566524,3,19
11566532,1,19
11566532,2,19
11566628,1,19
11566628,2,19
11566651,1,1
11566651,2,19
11566654,1,99
11566658,1,99
11566658,2,19
11566671,1,19
11566671,2,19
11566711,1,19
11566711,2,19
11566715,1,19
11566715,2,19
11566715,3,98
11566715,4,98
11566746,1,1
11566746,2,11
11566746,2,15
11566746,2,26
11566753,2,20
11566754,1,19
11566754,2,1
11566757,1,19
11566757,2,19
11566788,1,1
11566788,2,1
11566881,1,1
11566881,2,98
11566889,1,19
11566889,2,19
11566918,1,20
11567958,2,1
11568130,1,1
11568130,2,1
11568226,1,1
11568232,1,19
11568232,2,19
11568290,2,1
11568332,2,14
11568336,1,1
11568403,1,98
11568403,2,99
11568405,1,98
11568405,2,98
11568405,3,98
11568424,1,19
11568426,1,19
11568426,2,99
11568432,1,19
11568432,2,1
11568435,1,99
11568435,2,19
11568493,1,99
11568493,2,1
11568498,2,19
11568540,1,98
11568540,2,20
11568542,1,1
11568542,2,1
11568545,2,1
11568613,2,1
11568971,2,1
11568976,1,1
11569232,1,19
11569232,2,19
11569233,1,20
11569233,2,1
11569248,1,19
11569250,2,1
11569254,1,1
11569256,1,19
11569256,2,19
11569260,1,98
11569260,2,19
11569296,1,98
11569296,2,98
11569297,1,98
11569297,2,98
11570266,3,1
11570821,1,99
11570821,2,99
11570854,2,21
11570866,2,1
11570887,1,1
11573422,1,99
11573440,1,99
11573440,2,19
11573502,1,98
11573504,1,1
11573504,1,9
11573504,2,19
11573511,1,19
11574469,2,1
11576099,1,1
11576728,1,99
11576730,1,99
11576758,1,1
11576758,2,1
11576760,1,1
11576760,2,1
11576827,1,1
11577862,1,99
11577862,2,19
11577863,1,1
11577867,1,99
11577877,1,19
11579015,1,99
11584648,3,20
11585314,1,19
11586020,1,20
11586020,2,20
11586021,1,19
11586023,1,99
11586023,2,19
11586026,1,1
11586026,1,11
11586027,1,1
11586034,1,20
11586034,2,1
11586041,1,23
11586041,2,19
11588043,1,1
11589039,1,1
11591831,1,98
11591836,1,98
11591840,1,99
11591841,1,1
11591841,1,21
11591844,1,99
11591844,2,98
11592995,1,20
11592995,2,19
11593134,1,98
11593134,2,19
11593136,1,19
11593136,2,1
11593746,1,98
11593746,2,98
11594235,1,98
11594281,2,19
11594281,3,23
11594284,1,17
11594284,2,1
11594285,1,98
11594285,2,19
11594290,1,19
11594290,2,19
11594292,2,1
11594297,1,19
11594297,2,19
11594298,1,98
11594298,2,19
11594301,2,98
11594305,1,19
11594305,2,1
11594307,1,19
11594307,2,99
11594309,1,98
11594309,2,19
11594311,1,98
11594311,2,19
11594316,1,19
11594317,1,19
11594317,2,1
11594324,1,98
11594324,2,99
11594379,1,19
11594391,1,19
11594391,2,19
11594392,1,1
11594392,2,1
11594392,2,21
11594393,1,19
11594393,2,20
11594403,1,99
11594403,2,99
11594406,1,99
11594406,2,19
11594409,1,19
11594409,2,1
11594421,1,1
11594421,2,1
11594430,2,1
11594438,1,19
11594438,2,19
11594440,1,19
11594445,1,99
11594446,1,19
11594446,2,98
11594451,1,99
11594457,1,99
11594457,2,19
11594464,1,99
11594465,1,99
11594471,2,1
11594472,1,99
11594472,2,19
11594473,1,1
11594473,2,19
11594494,1,1
11594496,1,1
11594511,1,99
11594511,2,11
11594619,1,19
11594619,2,1
11594623,1,1
11594636,1,19
11594956,1,1
11594956,2,1
11594957,2,1
11594960,1,1
11594960,2,1
11594961,1,20
11594961,2,1
11594962,1,98
11594962,2,1
11594991,1,99
11594996,1,19
11594996,2,19
11595003,1,19
11595003,2,19
11595006,1,1
11595007,1,19
11595011,1,19
11595024,1,99
11595024,2,99
11595029,1,19
11595029,2,19
11595031,1,19
11595031,2,1
11595033,1,1
11595033,2,1
11595034,1,19
11595034,2,19
11595035,1,19
11595035,2,1
11595039,1,19
11595039,2,19
11595043,1,19
11595043,2,19
11595057,1,1
11595142,1,19
11595142,2,19
11595147,1,19
11595161,1,1
11595187,1,20
11595189,1,19
11595189,2,19
11595225,1,98
11595225,2,98
11595254,1,1
11595254,2,1
11595261,1,19
11595273,1,1
11595273,1,11
11595273,2,19
11595274,1,99
11595274,2,19
11595275,1,99
11595275,2,19
11595284,1,99
11595284,2,19
11595285,1,19
11595285,2,19
11595297,1,19
11595297,2,19
11595298,1,98
11595298,2,19
11595302,1,19
11595305,1,19
11595305,2,99
11595307,1,1
11595314,1,19
11595314,2,98
11595316,1,20
11595316,2,19
11595318,2,19
11595456,2,1
11595456,2,11
11595461,1,19
11595461,2,19
11595532,1,19
11595532,2,1
11595533,1,1
11595533,2,19
11595534,1,20
11595536,1,19
11595536,2,19
11595536,3,19
11595801,1,19
11595801,2,19
11595807,1,19
11595807,2,98
11595808,1,99
11595813,2,19
11595858,1,19
11595858,2,19
11595860,1,1
11595860,2,19
11595880,1,98
11595880,2,19
11595880,3,98
11595888,1,19
11595888,2,19
11595901,1,98
11595902,1,19
11595908,1,19
11595908,2,19
11595919,1,19
11595919,2,98
11595941,1,20
11595941,2,1
11595951,1,19
11595951,2,1
11595956,1,19
11595956,2,19
11596195,1,19
11596195,2,19
11596232,1,19
11596232,2,19
11596301,1,99
11596301,2,99
11596324,1,1
11596324,2,1
11596333,1,19
11596333,2,19
11596339,1,98
11596339,2,98
11596344,1,19
11596344,2,19
11596347,1,19
11596347,2,19
11596401,1,99
11596402,1,20
11596414,2,1
11596451,1,19
11596451,2,19
11596455,1,19
11596455,2,19
11596551,1,99
11596551,2,19
11596552,1,99
11596552,2,1
11596610,1,1
11596610,2,19
11596612,1,19
11596612,2,1
11596618,1,1
11596620,1,1
11596620,2,20
11596628,1,20
11596632,1,1
11596637,1,1
11596637,2,98
11596674,1,1
11596690,3,98
11596692,1,20
11596692,2,98
11596699,1,1
11596699,2,19
11596701,1,98
11596701,2,98
11596703,2,98
11596708,1,1
11596708,1,23
11596708,2,1
11596708,2,23
11596711,1,99
11596711,2,19
11596711,3,19
11596711,4,19
11596714,1,19
11596714,2,19
11596714,3,1
11596716,1,20
11596716,2,19
11596717,1,98
11596717,2,19
11596721,1,98
11596721,2,1
11596725,1,1
11596725,2,98
11597017,1,19
11597017,2,1
11597035,2,1
11597069,1,1
11597069,2,1
11597079,1,98
11597079,2,19
11597080,1,98
11597080,2,19
11597476,1,99
11597479,1,99
11597479,2,99
11597482,1,99
11597482,2,99
11597485,1,98
11597486,1,20
11597546,1,99
11597551,1,99
11597551,2,19
11597562,2,1
11597568,1,99
11597568,2,19
11597572,1,98
11597572,2,19
11597581,1,1
11597586,1,19
11597586,2,98
11598303,2,20
11598304,1,1
11598325,1,19
11598325,2,20
11598329,1,1
11598339,1,1
11598652,1,1
11598652,2,1
11598712,1,19
11598712,2,1
11598717,1,98
11598717,2,1
11598814,1,1
11598814,2,1
11598828,1,1
11598828,2,19
11598839,2,1
11598839,2,9
11598840,1,1
11598940,1,1
11598940,1,11
11598951,1,99
11598951,2,19
11598957,1,19
11598957,2,1
11599327,1,98
11599358,1,11
11599358,1,15
11599358,1,30
11599358,2,1
11599437,2,1
11599465,1,19
11599465,2,19
11599467,2,20
11599469,1,3
11599469,2,1
11599492,1,1
11599496,1,1
11600543,2,1
11600563,1,19
11600563,2,19
11601288,1,19
11601288,2,98
11601552,1,98
11601552,2,19
11601554,1,19
11601554,2,19
11601880,1,98
11601891,1,20
11601891,2,1
11601893,1,99
11601893,2,19
11601894,1,19
11601894,2,19
11601895,1,98
11601895,2,1
11601900,1,99
11601900,2,98
11601902,1,99
11601902,2,19
11601910,1,1
11601910,2,19
11601914,1,19
11601914,2,19
11601953,1,19
11601953,2,19
11601955,1,19
11601959,1,1
11601959,1,21
11601959,2,99
11602048,1,99
11602048,2,1
11602049,1,99
11602049,2,98
11602051,2,19
11602052,1,21
11602052,1,22
11602052,2,19
11602072,1,19
11602072,2,19
11602087,1,99
11602087,2,98
11602091,1,98
11602091,2,98
11602091,3,19
11602096,1,19
11602096,2,19
11602111,1,19
11602111,2,19
11602169,1,19
11602170,1,98
11602177,1,19
11602200,1,19
11602200,2,19
11602202,1,99
11602204,1,19
11602204,2,19
11602226,1,98
11602226,2,19
11602233,1,1
11602233,2,1
11602237,1,19
11602237,2,19
11602239,1,19
11602239,2,99
11602242,1,19
11602242,2,19
11602265,1,98
11602265,2,19
11602274,2,1
11602274,2,3
11602278,1,20
11602310,1,20
11602321,2,1
11602368,1,20
11602368,2,1
11602455,1,19
11602502,1,19
11602508,1,19
11602508,2,98
11602510,1,19
11602511,1,99
11602512,1,19
11602513,1,19
11602513,2,19
11602514,1,99
11602867,1,20
11602867,2,19
11602870,1,99
11602871,1,99
11602872,1,19
11602872,2,20
11602883,1,20
11602883,2,19
11603023,1,19
11603023,2,19
11603363,1,20
11603474,1,99
11603499,1,19
11603503,1,1
11606233,1,99
11606699,1,99
11606702,1,98
11606702,2,98
11606705,1,19
11606705,2,19
11606705,3,98
11606730,1,19
11606730,2,19
11606731,1,20
11606731,2,19
11606733,1,19
11606733,2,19
11606733,3,3
11606734,1,98
11606734,2,19
11606735,1,1
11606735,2,19
11606736,1,19
11606781,1,19
11606781,2,19
11606792,1,99
11606792,2,19
11606794,1,19
11606794,2,19
11606796,1,19
11606796,2,1
11606805,1,99
11606813,1,99
11606813,2,99
11606821,1,99
11606821,2,99
11606828,1,19
11606828,2,19
11606843,1,19
11606843,2,19
11606844,1,19
11606844,2,19
11606847,1,1
11606847,2,1
11606854,1,19
11606854,2,1
11606860,1,19
11606882,2,1
11606887,1,99
11606889,1,19
11606889,2,1
11606916,1,1
11606916,1,14
11606921,1,19
11606921,2,98
11606925,1,1
11606929,1,99
11606929,2,19
11606929,3,98
11606936,1,19
11606936,2,98
11606939,1,98
11606939,2,19
11606940,1,19
11606943,1,19
11606943,2,19
11606943,3,19
11606945,1,1
11606945,2,1
11606946,1,19
11606946,2,19
11606947,1,99
11606947,2,1
11606956,1,20
11606956,2,19
11606994,2,1
11607013,2,1
11607016,1,19
11607025,1,1
11607025,2,1
11607045,1,19
11607045,2,19
11607049,1,1
11607049,2,1
11607050,1,19
11607050,2,99
11607075,2,19
11607080,1,19
11607080,2,19
11607113,1,1
11607113,2,1
11607128,1,19
11607128,2,98
11607130,1,99
11607130,2,19
11607131,1,99
11607133,1,19
11607146,1,98
11607146,2,19
11607165,2,1
11607165,2,21
11607165,2,22
11607313,1,11
11607318,1,20
11607319,2,1
11607547,1,1
11607547,1,14
11607547,2,19
11607572,1,1
11607572,2,19
11607573,1,1
11607574,1,1
11607574,2,1
11607578,1,98
11607578,3,98
11607579,1,99
11607579,2,19
11607580,1,19
11607580,2,19
11607581,1,19
11607632,1,1
11607632,2,1
11607634,2,19
11607670,2,1
11607684,1,19
11607775,1,1
11607775,2,99
11607780,1,98
11607780,2,19
11607780,3,98
11607782,1,19
11607782,2,19
11607790,1,19
11607790,2,19
11607791,1,1
11607791,2,19
11607792,1,19
11607792,2,19
11607794,1,19
11607801,1,1
11607801,2,1
11607817,1,20
11607823,1,98
11607823,2,19
11607824,1,19
11607824,2,19
11607824,3,19
11607833,1,99
11607834,1,19
11607834,2,19
11608224,1,19
11608224,2,98
11608224,3,99
11608231,1,19
11608231,2,19
11608233,1,99
11608233,2,19
11608234,1,19
11608234,2,3
11608244,1,11
11608246,2,19
11608247,1,99
11608247,2,99
11608252,1,1
11608252,2,19
11608254,1,1
11608254,2,99
11608259,1,1
11608259,2,98
11608261,1,98
11608261,2,98
11608264,1,20
11608265,1,19
11608265,2,11
11608289,2,19
11608290,1,19
11608290,2,1
11608291,1,19
11608291,2,19
11608303,1,19
11608303,2,1
11608307,2,19
11608310,1,19
11608310,2,98
11608314,1,99
11608317,1,19
11608319,1,19
11608324,1,19
11608325,1,11
11608325,2,1
11608326,1,99
11608326,2,1
11608326,3,19
11608331,1,19
11608331,2,19
11608337,1,19
11608337,2,1
11608340,1,1
11608340,2,19
11608344,1,99
11608344,2,19
11608352,1,99
11608352,2,99
11608353,1,98
11608353,2,98
11608354,1,99
11608354,2,19
11608356,1,19
11608356,2,19
11608547,1,19
11608547,2,19
11608569,1,99
11608572,1,19
11608572,2,1
11608579,1,99
11608681,1,98
11608681,2,19
11608712,1,99
11608712,2,1
11608713,1,19
11608713,3,1
11608780,1,19
11608780,2,98
11608780,3,98
11608828,1,19
11608828,2,98
11608830,1,19
11608830,2,19
11609760,1,98
11609760,2,98
11609762,1,19
11609762,2,19
11609764,1,19
11609764,2,98
11609769,1,98
11609769,2,19
11609934,1,99
11609934,2,99
11609936,1,19
11609936,2,19
11609940,1,1
11609940,2,19
11609942,2,98
11609946,1,99
11609946,2,1
11609974,2,99
11609978,1,19
11609982,1,19
11609982,2,1
11609984,1,98
11609988,1,99
11609988,2,1
11609989,1,19
11609989,2,19
11610013,1,98
11610013,2,98
11610015,1,19
11610015,2,19
11610021,1,19
11610021,2,1
11610025,1,20
11610025,2,19
11610028,2,19
11610029,1,19
11610029,2,19
11610031,1,99
11610031,2,99
11610048,1,98
11610048,2,19
11610051,1,19
11610051,2,19
11610053,1,19
11610053,2,1
11610056,1,20
11610062,1,98
11610062,2,19
11610065,1,98
11610065,2,3
11610066,1,19
11610066,2,19
11610401,1,19
11610405,1,19
11610414,1,99
11610414,2,19
11610418,1,19
11611279,1,19
11611310,1,19
11611310,2,98
11611316,1,1
11611316,2,19
11611317,1,20
11611317,2,19
11611323,1,1
11611323,2,98
11611327,1,20
11611327,2,19
11611389,1,1
11611430,1,20
11611430,2,1
11611440,1,1
11611444,1,99
11611444,2,1
11611467,1,19
11611467,2,19
11611469,1,19
11611469,2,19
11611471,1,1
11611471,2,1
11611479,1,19
11611479,2,19
11611597,1,20
11611625,1,20
11611629,1,99
11611629,2,99
11612802,1,19
11612803,1,19
11612805,1,1
11612805,2,99
11612807,1,99
11612808,1,19
11612809,1,20
11612809,2,19
11613664,1,19
11613664,2,19
11613665,1,1
11616099,1,19
11616099,2,19
11616100,1,19
11616717,2,19
11616996,1,98
11618633,1,1
11618633,2,1
11618633,2,11
11618659,1,20
11618673,1,1
11618681,1,20
11618681,2,19
11618685,1,19
11618714,1,99
11618714,2,19
11618717,1,19
11618717,2,19
11618719,1,98
11618719,2,1
11618721,2,20
11618726,1,19
11618735,1,19
11618735,2,19
11618737,1,19
11618737,2,98
11618739,1,19
11618739,2,19
11618741,1,19
11618741,2,19
11619614,1,19
11619614,2,19
11619622,1,1
11622202,1,19
11622202,2,1
11622207,1,98
11622207,2,19
11622209,1,1
11622209,2,99
11622268,1,19
